symbol,settle_date,contract_num,open,high,low,close,adj_close,volume,open_interest
CLF17,20160407,9,42.22,42.26,41.2,41.45,41.45,4783,30511
CLF18,20160407,21,43.84,43.84,43.79,43.79,43.79,19,8489
CLF19,20160407,33,46.0,46.0,45.5,45.51,45.51,0,291
CLF20,20160407,45,0.0,46.99,46.99,46.99,46.99,0,0
CLF21,20160407,57,0.0,48.16,48.16,48.16,48.16,0,0
CLF17,20160408,9,41.71,43.73,41.71,43.73,43.73,10361,29051
CLF18,20160408,21,0.0,45.84,45.84,45.84,45.84,69,8498
CLF19,20160408,33,0.0,47.29,47.29,47.29,47.29,8,297
CLF20,20160408,45,0.0,48.59,48.59,48.59,48.59,0,0
CLF21,20160408,57,0.0,49.6,49.6,49.6,49.6,0,0
CLF17,20160411,9,44.04,44.68,43.46,44.56,44.56,15414,28477
CLF18,20160411,21,46.7,46.71,46.58,46.58,46.58,95,8547
CLF19,20160411,33,0.0,47.95,47.95,47.95,47.95,0,297
CLF20,20160411,45,0.0,49.21,49.21,49.21,49.21,0,0
CLF21,20160411,57,0.0,50.22,50.22,50.22,50.22,0,0
CLF17,20160412,9,45.0,46.06,44.76,45.99,45.99,16666,28075
CLF18,20160412,21,47.8,47.8,47.79,47.79,47.79,188,8582
CLF19,20160412,33,0.0,49.01,49.01,49.01,49.01,0,297
CLF20,20160412,45,0.0,50.15,50.15,50.15,50.15,0,0
CLF21,20160412,57,0.0,51.06,51.06,51.06,51.06,0,0
CLF17,20160413,9,45.58,45.97,45.27,45.79,45.79,17953,31754
CLF18,20160413,21,0.0,47.68,47.68,47.68,47.68,624,8574
CLF19,20160413,33,0.0,48.89,48.89,48.89,48.89,0,297
CLF20,20160413,45,0.0,49.99,49.99,49.99,49.99,0,0
CLF21,20160413,57,0.0,50.88,50.88,50.88,50.88,0,0
CLF17,20160414,9,45.14,45.96,45.03,45.29,45.29,20954,34820
CLF18,20160414,21,0.0,47.18,47.18,47.18,47.18,152,8627
CLF19,20160414,33,0.0,48.31,48.31,48.31,48.31,0,297
CLF20,20160414,45,0.0,49.36,49.36,49.36,49.36,0,0
CLF21,20160414,57,0.0,50.23,50.23,50.23,50.23,0,0
CLF17,20160415,9,44.78,44.81,43.83,44.41,44.41,6005,36242
CLF18,20160415,21,0.0,46.18,46.18,46.18,46.18,79,8637
CLF19,20160415,33,0.0,47.21,47.21,47.21,47.21,0,297
CLF20,20160415,45,0.0,48.18,48.18,48.18,48.18,0,0
CLF21,20160415,57,0.0,49.03,49.03,49.03,49.03,0,0
CLF17,20160418,9,43.56,44.41,41.83,44.12,44.12,4633,36576
CLF18,20160418,21,44.0,45.9,44.0,45.9,45.9,4,8637
CLF19,20160418,33,45.75,46.95,45.5,46.95,46.95,0,297
CLF20,20160418,45,0.0,47.98,47.98,47.98,47.98,0,0
CLF21,20160418,57,0.0,48.88,48.88,48.88,48.88,0,0
CLF17,20160419,9,44.14,45.42,44.14,45.19,45.19,5458,36680
CLF18,20160419,21,0.0,46.75,46.75,46.75,46.75,59,8634
CLF19,20160419,33,0.0,47.68,47.68,47.68,47.68,6,301
CLF20,20160419,45,0.0,48.65,48.65,48.65,48.65,0,0
CLF21,20160419,57,0.0,49.55,49.55,49.55,49.55,0,0
CLF17,20160420,9,44.61,46.77,44.36,46.69,46.69,4157,36420
CLF18,20160420,21,0.0,48.14,48.14,48.14,48.14,91,8675
CLF19,20160420,33,0.0,49.03,49.03,49.03,49.03,4,301
CLF20,20160420,45,0.0,49.97,49.97,49.97,49.97,0,0
CLF21,20160420,57,0.0,50.87,50.87,50.87,50.87,0,0
CLF17,20160421,8,46.41,46.9,45.71,45.84,45.84,4652,36373
CLF18,20160421,20,0.0,47.52,47.52,47.52,47.52,155,8730
CLF19,20160421,32,0.0,48.6,48.6,48.6,48.6,0,301
CLF20,20160421,44,0.0,49.7,49.7,49.7,49.7,0,0
CLF21,20160421,56,0.0,50.67,50.67,50.67,50.67,0,0
CLF17,20160422,8,45.9,47.01,45.82,46.47,46.47,4639,36823
CLF18,20160422,20,48.4,48.45,48.21,48.21,48.21,488,8950
CLF19,20160422,32,0.0,49.45,49.45,49.45,49.45,0,301
CLF20,20160422,44,0.0,50.67,50.67,50.67,50.67,0,0
CLF21,20160422,56,0.0,51.69,51.69,51.69,51.69,0,0
CLF17,20160425,8,46.31,46.56,45.84,45.87,45.87,4350,36950
CLF18,20160425,20,0.0,47.83,47.83,47.83,47.83,270,9007
CLF19,20160425,32,0.0,49.28,49.28,49.28,49.28,0,301
CLF20,20160425,44,0.0,50.67,50.67,50.67,50.67,0,0
CLF21,20160425,56,0.0,51.77,51.77,51.77,51.77,0,0
CLF17,20160426,8,46.16,47.25,46.1,46.97,46.97,6207,36528
CLF18,20160426,20,0.0,48.67,48.67,48.67,48.67,49,8992
CLF19,20160426,32,0.0,49.91,49.91,49.91,49.91,29,301
CLF20,20160426,44,0.0,51.16,51.16,51.16,51.16,0,0
CLF21,20160426,56,0.0,52.21,52.21,52.21,52.21,0,0
CLF17,20160427,8,47.5,48.25,46.7,48.15,48.15,2565,35684
CLF18,20160427,20,0.0,49.68,49.68,49.68,49.68,236,9063
CLF19,20160427,32,0.0,50.83,50.83,50.83,50.83,0,301
CLF20,20160427,44,0.0,52.01,52.01,52.01,52.01,0,0
CLF21,20160427,56,0.0,53.03,53.03,53.03,53.03,0,0
CLF17,20160428,8,47.95,48.63,47.95,48.63,48.63,3176,35414
CLF18,20160428,20,0.0,50.0,50.0,50.0,50.0,116,9066
CLF19,20160428,32,0.0,50.97,50.97,50.97,50.97,0,301
CLF20,20160428,44,0.0,51.96,51.96,51.96,51.96,0,0
CLF21,20160428,56,0.0,52.83,52.83,52.83,52.83,0,0
CLF17,20160429,8,48.6,49.08,47.85,48.38,48.38,2775,34932
CLF18,20160429,20,49.93,49.93,49.73,49.73,49.73,264,9226
CLF19,20160429,32,0.0,50.87,50.87,50.87,50.87,0,301
CLF20,20160429,44,0.0,52.01,52.01,52.01,52.01,0,0
CLF21,20160429,56,0.0,53.09,53.09,53.09,53.09,0,0
CLF17,20160502,8,48.16,48.39,47.21,47.28,47.28,9375,35160
CLF18,20160502,20,0.0,48.8,48.8,48.8,48.8,613,9288
CLF19,20160502,32,0.0,50.08,50.08,50.08,50.08,0,301
CLF20,20160502,44,0.0,51.35,51.35,51.35,51.35,0,0
CLF21,20160502,56,0.0,52.54,52.54,52.54,52.54,0,0
CLF17,20160503,8,47.32,47.43,46.3,46.52,46.52,5800,34750
CLF18,20160503,20,0.0,48.17,48.17,48.17,48.17,95,9331
CLF19,20160503,32,0.0,49.63,49.63,49.63,49.63,0,301
CLF20,20160503,44,0.0,51.06,51.06,51.06,51.06,0,0
CLF21,20160503,56,0.0,52.36,52.36,52.36,52.36,0,0
CLF17,20160504,8,46.66,47.36,45.99,46.38,46.38,4554,34652
CLF18,20160504,20,0.0,48.09,48.09,48.09,48.09,153,9352
CLF19,20160504,32,0.0,49.71,49.71,49.71,49.71,0,301
CLF20,20160504,44,0.0,51.28,51.28,51.28,51.28,0,0
CLF21,20160504,56,0.0,52.65,52.65,52.65,52.65,0,0
CLF17,20160505,8,47.09,48.22,46.48,46.77,46.77,4371,34938
CLF18,20160505,20,0.0,48.38,48.38,48.38,48.38,51,9317
CLF19,20160505,32,0.0,50.07,50.07,50.07,50.07,0,301
CLF20,20160505,44,0.0,51.75,51.75,51.75,51.75,0,0
CLF21,20160505,56,0.0,53.24,53.24,53.24,53.24,0,0
CLF17,20160506,8,46.95,47.7,46.11,47.3,47.3,8394,35810
CLF18,20160506,20,0.0,48.99,48.99,48.99,48.99,69,9300
CLF19,20160506,32,0.0,50.72,50.72,50.72,50.72,0,301
CLF20,20160506,44,0.0,52.41,52.41,52.41,52.41,0,0
CLF21,20160506,56,0.0,53.88,53.88,53.88,53.88,0,0
CLF17,20160509,8,47.91,48.09,45.94,46.03,46.03,10875,36721
CLF18,20160509,20,0.0,47.78,47.78,47.78,47.78,16,9293
CLF19,20160509,32,0.0,49.69,49.69,49.69,49.69,0,301
CLF20,20160509,44,0.0,51.66,51.66,51.66,51.66,0,0
CLF21,20160509,56,0.0,53.48,53.48,53.48,53.48,0,0
CLF17,20160510,8,45.85,47.59,45.85,47.51,47.51,10449,34369
CLF18,20160510,20,0.0,49.08,49.08,49.08,49.08,225,9292
CLF19,20160510,32,0.0,50.76,50.76,50.76,50.76,0,301
CLF20,20160510,44,0.0,52.51,52.51,52.51,52.51,0,0
CLF21,20160510,56,0.0,54.12,54.12,54.12,54.12,0,0
CLF17,20160511,8,47.07,49.13,46.89,49.04,49.04,13947,35387
CLF18,20160511,20,0.0,50.35,50.35,50.35,50.35,44,9301
CLF19,20160511,32,0.0,51.65,51.65,51.65,51.65,0,301
CLF20,20160511,44,0.0,53.07,53.07,53.07,53.07,0,0
CLF21,20160511,56,0.0,54.44,54.44,54.44,54.44,0,0
CLF17,20160512,8,48.78,49.5,48.42,49.45,49.45,10572,34888
CLF18,20160512,20,0.0,50.46,50.46,50.46,50.46,182,9310
CLF19,20160512,32,0.0,51.56,51.56,51.56,51.56,0,301
CLF20,20160512,44,0.0,52.82,52.82,52.82,52.82,0,0
CLF21,20160512,56,0.0,54.14,54.14,54.14,54.14,0,0
CLF17,20160513,8,49.2,49.22,48.7,48.98,48.98,10776,35748
CLF18,20160513,20,0.0,49.84,49.84,49.84,49.84,203,9401
CLF19,20160513,32,0.0,50.72,50.72,50.72,50.72,0,301
CLF20,20160513,44,0.0,51.78,51.78,51.78,51.78,0,0
CLF21,20160513,56,0.0,52.99,52.99,52.99,52.99,0,0
CLF17,20160516,8,49.59,50.29,49.58,50.1,50.1,4668,36314
CLF18,20160516,20,0.0,50.6,50.6,50.6,50.6,526,9497
CLF19,20160516,32,0.0,51.29,51.29,51.29,51.29,0,301
CLF20,20160516,44,0.0,52.19,52.19,52.19,52.19,0,0
CLF21,20160516,56,0.0,53.28,53.28,53.28,53.28,0,0
CLF17,20160517,8,50.25,50.84,49.95,50.65,50.65,7601,36839
